question_id,lesson_id,subject_id,type,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,xp,order_index,is_active
26,6,2,mcq,What is comprehension?,Reading speed,Understanding text,Writing skill,Spelling,B,Comprehension means understanding what is read.,medium,10,1,true
27,6,2,mcq,What should you do first when reading a passage?,Skip it,Read questions,Scan title,Guess answers,C,The title gives context.,medium,10,2,true
28,6,2,mcq,What helps find the main idea?,Details,Examples,Topic sentence,Dictionary,C,The topic sentence shows the main idea.,medium,10,3,true
29,6,2,mcq,Why reread a passage?,Waste time,Memorise words,Improve understanding,Skip questions,C,Rereading clarifies meaning.,medium,10,4,true
30,6,2,mcq,What does context help with?,Spelling,Pronunciation,Word meaning,Writing,C,Context helps infer meaning.,medium,10,5,true

31,7,3,mcq,Which is a living thing?,Rock,Water,Tree,Chair,C,Living things grow and reproduce.,easy,10,1,true
32,7,3,mcq,Which is needed for life?,Plastic,Air,Metal,Glass,B,Living things need air.,easy,10,2,true
33,7,3,mcq,What do all living things do?,Stay still,Grow,Shine,Freeze,B,Growth is a key life process.,easy,10,3,true
34,7,3,mcq,Which is NOT living?,Dog,Plant,Fungus,Stone,D,Stones do not show life processes.,easy,10,4,true
35,7,3,mcq,Living things respond to?,Light,Nothing,Noise,Stimuli,D,Stimuli cause responses.,easy,10,5,true

36,8,3,mcq,What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,Cells are the building blocks of life.,medium,10,1,true
37,8,3,mcq,Which is found in plant cells only?,Nucleus,Cell wall,Mitochondria,Cytoplasm,B,Cell walls are unique to plants.,medium,10,2,true
38,8,3,mcq,What do systems do?,Work alone,Work together,Stop growth,Replace cells,B,Systems work together in organisms.,medium,10,3,true
39,8,3,mcq,Which is a system?,Heart,Brain,Circulatory system,Lung,C,A system consists of multiple organs.,medium,10,4,true
40,8,3,mcq,Cells combine to form?,Atoms,Tissues,Systems,Organisms,B,Cells form tissues.,medium,10,5,true

41,9,3,mcq,Which is a state of matter?,Energy,Gas,Force,Heat,B,Gas is one state of matter.,medium,10,1,true
42,9,3,mcq,Which has fixed shape?,Liquid,Gas,Solid,Plasma,C,Solids have fixed shape.,medium,10,2,true
43,9,3,mcq,Which can flow?,Solid,Liquid,Stone,Ice,B,Liquids can flow.,medium,10,3,true
44,9,3,mcq,What happens when ice melts?,Freezes,Boils,Changes state,Disappears,C,Melting changes solid to liquid.,medium,10,4,true
45,9,3,mcq,Which property describes mass?,Colour,Weight,Volume,Texture,B,Mass relates to weight.,medium,10,5,true
